report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_1,mean_median_diff_pct,0.241244974884338,0.00196658461594803,2.2261663215873
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,n,10,10,10
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,range,0.153618720801253,0.0051935613155365,0.366571416173663
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,mean,0.671486834821101,0.524813155110436,0.826471346947882
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,median,0.67950031750259,0.542704752087593,0.873679184913635
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,SD,0.0539181594047511,0.00154022042371633,0.145451015486565
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,CV_pct,7.89314391596399,0.195466593278198,18.5230726598313
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,MedianCV_pct,4.39789293808669,0.0029642709363011,8.44680939084506
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,CI_width,0.0771414553748316,0.00220361463364505,0.20809877681752
report_anthropic_pet_t2t,anthropic,pet,t2t,text_eval_2,mean_median_diff_pct,1.66641876935318,0.00232640095091374,10.122343815558
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,n,10,10,10
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,range,0.0922549241979636,0.0127979178070858,0.223334987399263
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,mean,0.863053233888911,0.731493981318298,0.950897717221299
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,median,0.864976355331497,0.736495368540478,0.948480713537611
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,SD,0.0282881843676673,0.00528050610470176,0.0816488417090522
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,CV_pct,3.37148552756804,0.580701294326035,9.93563184856284
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,MedianCV_pct,2.20449298551904,0,8.87586199426019
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,CI_width,0.0404722960895644,0.00755489301803736,0.116816125562152
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_1,mean_median_diff_pct,0.463961449822431,0.0325209332309357,4.27340809358985
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,n,10,10,10
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,range,0.105130513273425,0.0276329335152865,0.231899094383516
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,mean,0.866712713006338,0.716473842920017,0.953597972972973
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,median,0.863680244387965,0.720197805588548,0.95625
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,SD,0.0301486380422343,0.00917607823017561,0.0667493538139211
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,CV_pct,3.75473846106265,1.05817900899828,8.58579729991832
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,MedianCV_pct,2.32447476270348,0,6.65141007296221
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,CI_width,0.0431340728582444,0.0131283418633663,0.0954992224397355
report_anthropic_realset_m2m,anthropic,realset,m2m,model_eval_2,mean_median_diff_pct,0.566835419849971,0.00807928577557547,3.02174713411417
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,n,10,10,10
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,range,0.0364408791065216,0.0143519639968872,0.0969331860542297
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,mean,0.737159839272499,0.559797942638397,0.867020708322525
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,median,0.735367923974991,0.558909356594086,0.870320022106171
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,SD,0.0122816346016815,0.00409136471973656,0.0324260659174099
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,CV_pct,1.72464100080401,0.526574670577212,4.26779494356886
report_anthropic_realset_m2m,anthropic,realset,m2m,text_eval_1,MedianCV_pct,1.13436544176096,0.286216015517716,3.31246816060523
